Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2019-01-01,3,Buenos Aires,339648.0,2748325.0,1436433.0,126.846,70.416,4.721.668
2019-01-01,3,Capital Federal,140791.0,1240125.0,129218.0,5.758,31.787,1.547.679
2019-01-01,3,Catamarca,10010.0,10495.0,46224.0,1.329,2.235,70.293
2019-01-01,3,Chaco,27164.0,61800.0,44645.0,8.178,2.359,144.146
2019-01-01,3,Chubut,45377.0,72212.0,9574.0,29.784,8.831,165.778
2019-01-01,3,Córdoba,163770.0,465461.0,338570.0,61.07,9.797,1.038.668
2019-01-01,3,Corrientes,36508.0,77140.0,18619.0,7.256,5.323,144.846
2019-01-01,3,Entre Ríos,60345.0,132952.0,36971.0,26.098,12.593,268.959
2019-01-01,3,Formosa,14470.0,25880.0,11041.0,16.935,212.0,68.538
2019-01-01,3,Jujuy,19257.0,52978.0,40172.0,4.033,2.383,118.823
2019-01-01,3,La Pampa,7796.0,60078.0,23551.0,20.216,4.451,116.092
2019-01-01,3,La Rioja,6842.0,53899.0,19697.0,6.395,31.0,86.864
2019-01-01,3,Mendoza,37659.0,78858.0,142615.0,27.625,2.766,289.523
2019-01-01,3,Misiones,35513.0,88902.0,39046.0,11.074,7.622,182.157
2019-01-01,3,Neuquén,29352.0,75815.0,29396.0,27.482,1.116,163.161
2019-01-01,3,Río Negro,35552.0,48260.0,41017.0,16.76,18.969,160.558
2019-01-01,3,Salta,40006.0,96984.0,50254.0,10.082,7.215,204.541
2019-01-01,3,San Juan,38570.0,22723.0,12328.0,21.86,7.918,103.399
2019-01-01,3,San Luis,6860.0,29363.0,248.0,70.614,14.985,122.070
2019-01-01,3,Santa Cruz,10170.0,24047.0,10815.0,3.896,582.0,49.510
2019-01-01,3,Santa Fe,183740.0,426255.0,215189.0,43.079,19.547,887.810
2019-01-01,3,Santiago Del Estero,15385.0,80937.0,13170.0,6.618,2.922,119.032
2019-01-01,3,Tierra Del Fuego,12754.0,39963.0,403.0,125.0,651.0,53.896
2019-01-01,3,Tucumán,77738.0,18518.0,162345.0,3.997,519.0,263.117
2019-01-01,2,Buenos Aires,350652.0,2719613.0,1399043.0,126.847,71.028,4.667.183
2019-01-01,2,Capital Federal,145491.0,1232226.0,121506.0,5.757,31.791,1.536.771
2019-01-01,2,Catamarca,11928.0,9430.0,42087.0,1.329,2.234,67.008
2019-01-01,2,Chaco,29552.0,61284.0,42194.0,8.178,2.356,143.564
2019-01-01,2,Chubut,45377.0,69242.0,9574.0,29.784,8.828,162.805
2019-01-01,2,Córdoba,179181.0,467595.0,308895.0,61.107,9.657,1.026.435
2019-01-01,2,Corrientes,38468.0,75769.0,18181.0,7.256,5.323,144.997
2019-01-01,2,Entre Ríos,63794.0,131029.0,35839.0,26.098,12.592,269.352
2019-01-01,2,Formosa,15397.0,25487.0,9875.0,16.91,212.0,67.881
2019-01-01,2,Jujuy,20303.0,54495.0,34184.0,3.955,2.377,115.314
2019-01-01,2,La Pampa,7796.0,59273.0,22994.0,20.2,1.264,111.527
2019-01-01,2,La Rioja,7759.0,52656.0,19189.0,6.395,31.0,86.030
2019-01-01,2,Mendoza,37663.0,77504.0,135504.0,26.964,1.927,279.562
2019-01-01,2,Misiones,37208.0,89260.0,33649.0,11.074,7.622,178.813
2019-01-01,2,Neuquén,29749.0,74905.0,28824.0,27.371,1.119,161.968
2019-01-01,2,Río Negro,36050.0,47040.0,40946.0,16.76,18.968,159.764
2019-01-01,2,Salta,42665.0,96178.0,47076.0,10.068,7.19,203.177
2019-01-01,2,San Juan,38570.0,19734.0,12328.0,21.859,7.916,100.407
2019-01-01,2,San Luis,6860.0,29034.0,248.0,70.614,14.985,121.741
2019-01-01,2,Santa Cruz,10170.0,23725.0,10815.0,3.896,579.0,49.185
